id,name,deadline_time,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,ranked_count,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,top_element_full_name,most_captained_full_name,most_vice_captained_full_name
1,Gameweek 1,2024-08-16T17:30:00Z,,57,True,True,3546234.0,1723829400,0,127.0,False,False,False,False,False,8597356,"[{'chip_name': 'bboost', 'num_played': 144974}, {'chip_name': '3xc', 'num_played': 221430}]",401.0,27.0,328.0,"{'id': 328, 'points': 14}",0,351.0,351.0,Mohamed Salah,Erling Haaland,Erling Haaland
2,Gameweek 2,2024-08-24T10:00:00Z,,69,True,True,9442126.0,1724493600,0,154.0,False,False,False,True,True,9543353,"[{'chip_name': 'bboost', 'num_played': 118782}, {'chip_name': 'freehit', 'num_played': 102788}, {'chip_name': 'wildcard', 'num_played': 217521}, {'chip_name': '3xc', 'num_played': 612384}]",401.0,594.0,177.0,"{'id': 177, 'points': 20}",13364453,351.0,401.0,Noni Madueke,Erling Haaland,Alexander Isak
3,Gameweek 3,2024-08-31T10:00:00Z,,64,True,True,430195.0,1725098400,0,130.0,False,False,False,True,True,9912161,"[{'chip_name': 'bboost', 'num_played': 87334}, {'chip_name': 'freehit', 'num_played': 140192}, {'chip_name': 'wildcard', 'num_played': 656652}, {'chip_name': '3xc', 'num_played': 186907}]",351.0,177.0,328.0,"{'id': 328, 'points': 17}",23723836,351.0,328.0,Mohamed Salah,Erling Haaland,Mohamed Salah
4,Gameweek 4,2024-09-14T10:00:00Z,,51,True,True,3560750.0,1726308000,0,120.0,False,False,False,True,True,10178753,"[{'chip_name': 'bboost', 'num_played': 83637}, {'chip_name': 'freehit', 'num_played': 125561}, {'chip_name': 'wildcard', 'num_played': 940783}, {'chip_name': '3xc', 'num_played': 199688}]",351.0,129.0,185.0,"{'id': 185, 'points': 15}",25930392,351.0,328.0,Robert Sánchez,Erling Haaland,Mohamed Salah
5,Gameweek 5,2024-09-21T10:00:00Z,,58,True,True,1773336.0,1726912800,0,131.0,False,False,False,True,True,10279610,"[{'chip_name': 'bboost', 'num_played': 66447}, {'chip_name': 'freehit', 'num_played': 79498}, {'chip_name': 'wildcard', 'num_played': 311710}, {'chip_name': '3xc', 'num_played': 71288}]",351.0,58.0,180.0,"{'id': 180, 'points': 16}",13036058,351.0,351.0,Nicolas Jackson,Erling Haaland,Erling Haaland
6,Gameweek 6,2024-09-28T10:00:00Z,,50,True,True,7479996.0,1727517600,0,142.0,False,False,False,True,True,10369689,"[{'chip_name': 'bboost', 'num_played': 62665}, {'chip_name': 'freehit', 'num_played': 84229}, {'chip_name': 'wildcard', 'num_played': 663489}, {'chip_name': '3xc', 'num_played': 83406}]",351.0,327.0,182.0,"{'id': 182, 'points': 25}",21036913,351.0,328.0,Cole Palmer,Erling Haaland,Mohamed Salah
7,Gameweek 7,2024-10-05T10:00:00Z,,46,True,True,759474.0,1728122400,0,130.0,False,False,False,True,True,10466714,"[{'chip_name': 'bboost', 'num_played': 54778}, {'chip_name': 'freehit', 'num_played': 81146}, {'chip_name': 'wildcard', 'num_played': 308835}, {'chip_name': '3xc', 'num_played': 140205}]",351.0,182.0,512.0,"{'id': 512, 'points': 18}",14594461,351.0,328.0,Michail Antonio,Erling Haaland,Mohamed Salah
8,Gameweek 8,2024-10-19T10:00:00Z,,36,True,True,5482232.0,1729332000,0,98.0,False,False,False,True,True,10552679,"[{'chip_name': 'bboost', 'num_played': 65446}, {'chip_name': 'freehit', 'num_played': 64301}, {'chip_name': 'wildcard', 'num_played': 221063}, {'chip_name': '3xc', 'num_played': 111602}]",351.0,491.0,228.0,"{'id': 228, 'points': 14}",11911632,351.0,328.0,Michael Keane,Erling Haaland,Mohamed Salah
9,Gameweek 9,2024-10-25T17:30:00Z,,54,True,True,2039494.0,1729877400,0,117.0,False,False,False,True,True,10594653,"[{'chip_name': 'bboost', 'num_played': 51136}, {'chip_name': 'freehit', 'num_played': 71811}, {'chip_name': 'wildcard', 'num_played': 158486}, {'chip_name': '3xc', 'num_played': 330035}]",351.0,99.0,99.0,"{'id': 99, 'points': 15}",10882045,351.0,182.0,Bryan Mbeumo,Erling Haaland,Cole Palmer
10,Gameweek 10,2024-11-02T11:00:00Z,,39,True,True,1689659.0,1730545200,0,111.0,False,False,False,True,True,10648436,"[{'chip_name': 'bboost', 'num_played': 75823}, {'chip_name': 'freehit', 'num_played': 70729}, {'chip_name': 'wildcard', 'num_played': 162964}, {'chip_name': '3xc', 'num_played': 85359}]",351.0,99.0,82.0,"{'id': 82, 'points': 16}",11763382,351.0,182.0,Dominic Solanke-Mitchell,Erling Haaland,Cole Palmer
11,Gameweek 11,2024-11-09T13:30:00Z,,49,True,True,10668888.0,1731159000,0,136.0,True,False,False,True,True,10693676,"[{'chip_name': 'bboost', 'num_played': 79875}, {'chip_name': 'freehit', 'num_played': 84689}, {'chip_name': 'wildcard', 'num_played': 138253}, {'chip_name': '3xc', 'num_played': 52784}]",351.0,447.0,366.0,"{'id': 366, 'points': 17}",11631910,351.0,328.0,Bruno Borges Fernandes,Erling Haaland,Mohamed Salah
